1 => cctv1 | CCTV1
10 => cctv9 | CCTV9
100 => 100 | 黑莓电影
101 => 101 | 金牌综艺
102 => 102 | 精品体育
1025 => 1025 | 安徽经济生活
1026 => 1026 | 安徽影视
1027 => 1027 | 安徽公共
1028 => 1028 | 安徽农业科教
103 => 103 | 精品萌宠
104 => 104 | 中国功夫
105 => 105 | 黑莓动画
106 => 106 | CCTV4K
106 => 106 | 怡伴健康
1060 => 1060 | NHK World
1061 => 1061 | ABC Australia
1062 => 1062 | AXN
1063 => 1063 | BBC Earth
1064 => 1064 | BBC Lifestyle
1065 => 1065 | BBC News
1066 => 1066 | Bloomberg Television
1067 => 1067 | CINEMAX
1068 => 1068 | CNBC
1069 => 1069 | CNN
107 => 107 | 潮妈辣婆
1070 => 1070 | DW (English)
1071 => 1071 | DW
1072 => 1072 | Da Vinci
1073 => 1073 | Discovery Asia
1074 => 1074 | Discovery Channel
1075 => 1075 | Discovery科学频道
1076 => 1076 | France 24
1077 => 1077 | HBO Family
1078 => 1078 | HBO Hits
1079 => 1079 | HBO Signature
1079 => 1079 | 湖北综合
108 => 108 | 哒啵赛事
1080 => 1080 | HBO
1080 => 1080 | 湖北影视
1081 => 1081 | HISTORY
1081 => 1081 | 湖北教育
1082 => 1082 | HITS MOVIES
1082 => 1082 | 湖北生活
1083 => 1083 | HITS
1084 => 1084 | Lifetime
1084 => 1084 | 湖北公共
1085 => 1085 | Love Nature 4K
1085 => 1085 | 湖北经济
1086 => 1086 | Love Nature
1086 => 1086 | 湖北垄上
1087 => 1087 | NBA TV
1088 => 1088 | NHK WORLD-JAPAN
1089 => 1089 | NHK World Premium
109 => 109 | 哒啵电竞
1090 => 1090 | NHK World-Japan
1091 => 1091 | PopC
1092 => 1092 | STAR PLUS
1093 => 1093 | Sky News
1094 => 1094 | Sony MAX
1095 => 1095 | Sony SAB
1096 => 1096 | Sony TV (India)
1097 => 1097 | Star Gold
11 => cctv10 | CCTV10
110 => 110 | 精品纪录
1100 => 1100 | TVB Plus
1103 => 1103 | Thrill
1104 => 1104 | Viu 频道
1105 => 1105 | ViuTVsix
1106 => 1106 | ViuTV
1107 => 1107 | beIN SPORTS 1
1108 => 1108 | beIN SPORTS 2
1109 => 1109 | beIN SPORTS 3
111 => 111 | 军事评论
1110 => 1110 | beIN SPORTS 4
1111 => 1111 | beIN SPORTS 5
1112 => 1112 | beIN SPORTS 6
1113 => 1113 | myTV SUPER 18台
1114 => 1114 | myTV SUPER直播足球2台
1115 => 1115 | myTV SUPER直播足球3台
1116 => 1116 | myTV SUPER直播足球4台
1117 => 1117 | myTV SUPER直播足球5台
1118 => 1118 | myTV SUPER直播足球6台
1119 => 1119 | myTV SUPER直播足球7台
112 => 112 | 炫舞未来
1120 => 1120 | tvN
1121 => 1121 | 中国环球电视网
1122 => 1122 | 中国电影频道
1123 => 1123 | 中天亚洲台
1124 => 1124 | 亚洲剧台
1125 => 1125 | 亚洲新闻台
1126 => 1126 | 亚洲美食台
1127 => 1127 | 冰火频道
1128 => 1128 | 创世电视
1128 => 1128 | 海南综合
1129 => 1129 | 动物星球频道
1129 => 1129 | 海南新闻
113 => 113 | CCTV4K
1130 => 1130 | 千禧经典台
1130 => 1130 | 海南公共
1131 => 1131 | 半岛电视台英语频道
1132 => 1132 | 天映经典频道
1133 => 1133 | 娱乐新闻台
1134 => 1134 | 戏曲台
1135 => 1135 | 户外频道
1136 => tvbpearl | 明珠台
1138 => 1138 | 重庆影视
1139 => 1139 | 港台电视31
1139 => 1139 | 重庆新闻
114 => 114 | 北京卫视4K
1140 => 1140 | 港台电视32
1141 => 1141 | 港台电视33
1142 => 1142 | 港台电视34
1143 => 1143 | 港台电视35
1144 => tvbnewschannel | 无线新闻台
1145 => 1145 | 无线卫星亚洲台
1146 => 1146 | 无线卫星新闻台
1146 => 1146 | 重庆少儿
1147 => 1147 | 熊猫TV
1148 => 1148 | 粤语片台
1149 => 1149 | 罪案+侦缉
1150 => 1150 | 美亚电影台
1151 => 1151 | 华语剧台
1152 => 1152 | 甘肃少儿
1152 => phoenixchinese | 凤凰中文
1153 => 1153 | 甘肃公共
1153 => phoenixinfo | 凤凰资讯
1154 => phoenixhongkong | 凤凰香港
1155 => 1155 | 甘肃文化
1155 => tvbjade | 黄金翡翠台
1156 => 1156 | 黄金华剧台
1157 => 1157 | CNBC Asia 财经台
116 => 116 | 睛彩青少
1165 => 1165 | DW德国之声
117 => 117 | 睛彩竞技
1173 => 1173 | 北京纪实
1174 => 1174 | BTV文艺
1176 => 1176 | BTV影视
1177 => 1177 | BTV财经
1178 => 1178 | BTV体育
1179 => 1179 | BTV生活
118 => 118 | 睛彩篮球
1181 => 1181 | BTV新闻
1185 => 1185 | 内蒙蒙语卫视
1186 => 1186 | 内蒙新闻综合
1187 => 1187 | 内蒙经济生活
1188 => 1188 | 内蒙文体娱乐
1189 => 1189 | 内蒙农牧
119 => 119 | 睛彩广场舞
1190 => 1190 | KLT-靖天国际台
1190 => 1190 | 内蒙少儿
1193 => 1193 | LUXE TV Channel
1194 => 1194 | Lifetime 娱乐频道
1196 => 1196 | LiveABC互动英语频道
1197 => 1197 | Love Nature
12 => cctv11 | CCTV11
120 => 120 | 怀旧剧场
1203 => 1203 | MagellanTV频道 (麦哲伦频道)
121 => 121 | 女性时尚
1213 => 1213 | TVBS新闻
1215 => 1215 | TVBS精采
1215 => 1215 | 黑龙江影视
1216 => 1216 | 黑龙江文体
1217 => 1217 | 黑龙江都市
